campaign_id,name,description,status,priority,start_date,end_date,notification_type,template_short,template_long,created_at
C1,Winter Collection Sale,"Promote new winter arrivals and seasonal wear.",active,5,2025-11-01,2026-01-10,promotional,"New winter arrivals are here! ❄️","Stay warm in style with our latest winter collection and cozy essentials.",2025-10-20T10:00:00Z
C2,Limited-Time Price Drop,"Promote discounted products for a limited time.",active,4,2025-12-01,2025-12-31,promotional,"Prices just dropped! 🎉","Grab your favorite items at limited-time discounts while they last!",2025-11-25T12:00:00Z
C3,New Arrivals Spotlight,"Highlight new products added this week.",active,3,2025-10-01,2026-12-31,promotional,"Check out what's new this week! ✨","Discover fresh arrivals handpicked for you across trending categories.",2025-10-01T09:00:00Z
C4,Seasonal Clearance Sale,"Promote end-of-season clearance offers.",active,4,2026-02-01,2026-03-15,promotional,"Big savings on seasonal favorites! 💸","Enjoy deep discounts on seasonal items before they’re gone for good.",2026-01-20T11:30:00Z
C5,Summer Essentials Sale,"Promote popular summer items.",active,3,2026-06-01,2026-07-15,promotional,"Beat the heat with hot summer deals ☀️","Refresh your summer wardrobe with limited-time offers on trending essentials.",2026-05-20T14:00:00Z
C6,Back to School Deals,"Promote school-season essentials.",active,4,2025-08-01,2025-09-15,promotional,"Gear up for school season 🎒","Shop fresh arrivals and top picks for the new academic year.",2025-07-15T10:00:00Z
C7,Festive Season Sale,"Promote festive holiday discounts.",active,5,2025-12-01,2026-01-05,promotional,"Festive deals are live! 🎄","Celebrate the season with exclusive holiday discounts across categories.",2025-11-30T12:30:00Z
C8,Weekend Flash Sale,"Promote 48-hour deals.",active,4,2025-11-15,2025-11-17,promotional,"Flash Sale! ⚡","Hurry! 48-hour deals on bestsellers before stock runs out.",2025-11-14T17:00:00Z
C9,Daily Bestsellers Promo,"Highlight top-selling products.",active,3,2026-01-01,2026-12-31,promotional,"Shop today’s top picks ⭐","Discover what’s trending — our daily bestselling items curated for you.",2025-12-28T10:00:00Z
C10,Category Spotlight: Footwear,"Promote trending footwear styles.",active,4,2026-02-01,2026-03-01,promotional,"Step up your style 👟","Explore top footwear picks with fresh drops and exclusive offers.",2026-01-28T13:00:00Z
C11,Category Spotlight: Accessories,"Promote bags, belts, watches.",active,3,2025-11-01,2026-02-01,promotional,"Accessories that elevate any look ✨","Discover trending accessories that complete your style.",2025-10-20T09:45:00Z
C12,Spring Collection Launch,"Promote spring-themed new arrivals.",active,4,2026-03-01,2026-04-30,promotional,"Spring is here! 🌸","Refresh your wardrobe with floral prints, pastels, and seasonal must-haves.",2026-02-20T10:00:00Z
C13,Buy More Save More,"Promote tiered discount offers.",active,4,2025-09-01,2025-09-30,promotional,"Save more on bigger purchases! 💰","Unlock exclusive savings when you shop more — limited time only.",2025-08-22T11:15:00Z
C14,Deal of the Day,"Promote a single featured product daily.",active,3,2026-01-01,2026-12-31,promotional,"Today's special deal! 🎯","Don’t miss today’s limited-time spotlight offer.",2025-12-30T10:00:00Z
